Lfd. Nr	Name	Sternbild (lat.)	Sternbild (de)	--	RA	DEC	Entfernung in Lichtjahren	Art des Objekts	Messier-Nr.	NGC-Nr.	RA(orig)	Dec(orig.)	Epoch (M)
1	M1 Krebs-Nebel	Taurus	Stier	-1	05,575000	22,016667	3400	Supernova-Überrest	1	1952	05:20:02	+21:45:17	Sep-12-1758
2	M2 	Aquarius	Wassermann	-1	21,558333	-00,816667	52000	Kugelsternhaufen	2	7089	21:21:08	-01:47:00	Sep-11-1760
3	M3 	Canum Venaticorum	Jagdhunde	-1	13,703333	28,383333	46000	Kugelsternhaufen	3	5272	13:31:25	+29:32:57	May-03-1764
4	M4 	Scorpio	Skorpion	-1	16,393333	-26,533333	7500	Kugelsternhaufen	4	6121	16:09:08	-25:55:40	May-08-1764
5	M5 	Serpens	Schlange	-1	15,310000	02,083333	27000	Kugelsternhaufen	5	5904	15:06:36	+02:57:16	May-23-1764
6	M6 	Scorpio	Skorpion	-1	17,668333	-32,216667	2100	offener Sternhaufen	6	6405	17:24:42	-32:10:34	May-23-1764
7	M7 	Scorpio	Skorpion	-1	17,898333	-34,816667	800	offener Sternhaufen	7	6475	17:38:02	-34:40:34	May-23-1764
8	M8 Lagunen-Nebel	Sagittarius	Schütze	-1	18,063333	-24,383333	4900	Emissionsnebel	8	6523	17:49:58	-24:21:10	May-23-1764
9	M9 	Ophiuchus	Schlangenträger	-1	17,320000	-18,516667	26000	Kugelsternhaufen	9	6333	17:05:22	-18:13:26	May-28-1764
10	M10 	Ophiuchus	Schlangenträger	-1	16,951667	-04,100000	16000	Kugelsternhaufen	10	6254	16:44:48	-03:42:18	May-29-1764
11	M11 Wildenten-Nebel	Scutum	Schild	-1	18,851667	-06,266667	5500	offener Sternhaufen	11	6705	18:30:23	-06:31:01	May-30-1764
12	M12 	Ophiuchus	Schlangenträger	-1	16,786667	-01,950000	19000	Kugelsternhaufen	12	6218	16:34:53	-02:30:28	May-30-1764
13	M13 	Hercules	Herkules	-1	16,695000	36,466667	22000	Kugelsternhaufen	13	6205	16:33:15	+36:54:44	Jun-01-1764
14	M14 	Ophiuchus	Schlangenträger	-1	17,626667	-03,250000	23000	Kugelsternhaufen	14	6402	17:25:14	-03:05:45	Jun-01-1764
15	M15 	Ophiuchus	Pegasus	-1	21,500000	12,166667	49000	Kugelsternhaufen	15	7078	21:18:41	+10:40:03	Jun-03-1764
16	M16 Adler-Nebel	Serpens	Schlange	-1	18,313333	-13,783333	5900	o. Sternh. + Emissionsn.	16	6611	18:05:00	-13:51:44	Jun-03-1764
17	M17 Omega-Nebel	Sagittarius	Schütze	-1	18,346667	-16,183333	5900	Emissionsnebel	17	6618	18:07:03	-16:14:44	Jun-03-1764
18	M18 	Sagittarius	Schütze	-1	18,331667	-17,133333	4900	offener Sternhaufen	18	6613	18:06:16	-17:13:14	Jun-03-1764
19	M19 	Ophiuchus	Schlangenträger	-1	17,043333	-26,266667	22000	Kugelsternhaufen	19	6273	16:48:07	-25:54:46	Jun-05-1764
